Category,Query,Expected,Actual,Status,Latency (ms),Confidence,Reason,Description
"Standard References","John 3:16","John.3.16","John.3:16","PASS","1.00","0.95","Exact match","Classic verse reference"
"Standard References","Psalm 23:1","Ps.23.1","Ps.23:1","PASS","0.00","0.95","Exact match","Full book name with verse"
"Standard References","Revelation 7:9-10","Rev.7.9","Rev.7:9","PASS","0.00","0.95","Exact match","Verse range in same chapter"
"Standard References","Genesis 1:1","Gen.1.1","Gen.1:1","PASS","0.00","0.95","Exact match","Beginning of Bible"
"Standard References","Matthew 5:3","Matt.5.3","Matt.5:3","PASS","0.00","0.95","Exact match","Beginning of NT"
"Chapter Only","1 Samuel 17","1Sam.17.1","1Sam.17:1","PASS","0.00","0.95","Exact match","Chapter-only reference (David and Goliath)"
"Chapter Only","Psalm 119","Ps.119.1","Ps.119:1","PASS","0.00","0.95","Exact match","Longest chapter reference"
"Chapter Only","Romans 8","Rom.8.1","Rom.8:1","PASS","0.00","0.95","Exact match","Popular chapter reference"
"Abbreviations","Jn 3:16","John.3.16","John.3:16","PASS","0.00","0.95","Exact match","Two-letter book abbreviation"
"Abbreviations","1 Co 13:4","1Cor.13.4","1Cor.13:4","PASS","0.00","0.95","Exact match","Numbered book abbreviation"
"Abbreviations","Psa 23:1","Ps.23.1","Ps.23:1","PASS","0.00","0.95","Exact match","Three-letter abbreviation"
"Abbreviations","Gen 1:1","Gen.1.1","Gen.1:1","PASS","0.00","0.95","Exact match","Common abbreviation"
"Abbreviations","Matt 6:9","Matt.6.9","Matt.6:9","PASS","0.00","0.95","Exact match","NT abbreviation"
"Abbreviations","Phil 4:13","Phil.4.13","Phil.4:13","PASS","0.00","0.95","Exact match","Four-letter abbreviation"
"Abbreviations","1 Sam 16:7","1Sam.16.7","1Sam.16:7","PASS","0.00","0.95","Exact match","Abbreviated numbered book"
"Abbreviations","2 Tim 3:16","2Tim.3.16","2Tim.3:16","PASS","0.00","0.95","Exact match","Second Timothy abbreviation"
"OSIS Format","John.3.16","John.3.16","John.3:16","PASS","0.00","0.95","Exact match","OSIS dot notation"
"OSIS Format","Rev.7.9-10","Rev.7.9","Rev.7:9","PASS","0.00","0.95","Exact match","OSIS with range"
"OSIS Format","Ps.23.1","Ps.23.1","Ps.23:1","PASS","0.00","0.95","Exact match","OSIS Psalm format"
"OSIS Format","1Sam.17.45","1Sam.17.45","1Sam.17:45","PASS","0.00","0.95","Exact match","OSIS numbered book"
"Cross-Chapter Ranges","Isaiah 52:13-53:3","Isa.52.13","Isa.52:13","PASS","0.00","0.95","Exact match","Suffering servant prophecy"
"Cross-Chapter Ranges","Matthew 5-7","Matt.5.1","Matt.5:1","PASS","0.00","0.95","Exact match","Sermon on the Mount"
"Cross-Chapter Ranges","Genesis 1-2","Gen.1.1","Gen.1:1","PASS","0.00","0.95","Exact match","Creation narrative"
"Typos and Fuzzy","Jhon 3:16","John.3.16","John.3:16","PASS","3.00","0.95","Exact match","Common typo (h before o)"
"Typos and Fuzzy","Pslm 23","Ps.23.1","Ps.23:1","PASS","0.00","0.95","Exact match","Missing vowel"
"Typos and Fuzzy","Isaih 53:5","Isa.53.5","Isa.53:5","PASS","0.00","0.95","Exact match","Misspelled Isaiah"
"Typos and Fuzzy","Mathew 5:3","Matt.5.3","Matt.5:3","PASS","0.00","0.95","Exact match","Single 't' typo"
"Typos and Fuzzy","Revelations 22:21","Rev.22.21","Rev.22:21","PASS","0.00","0.95","Exact match","Plural form (common mistake)"
"Compact Format","John316","John.3.16","John.3:16","PASS","0.00","0.95","Exact match","No spaces or punctuation"
"Compact Format","Gen1:1","Gen.1.1","Gen.1:1","PASS","0.00","0.95","Exact match","Book name with colon only"
"Compact Format","Ps23","Ps.23.1","Ps.23:1","PASS","0.00","0.95","Exact match","Ultra-compact chapter reference"
"Compact Format","Rom8:28","Rom.8.28","Rom.8:28","PASS","0.00","0.95","Exact match","Compact with colon"
"Alternate Book Names","Song of Solomon 2:4","Song.2.4","Song.2:4","PASS","0.00","0.95","Exact match","Full alternate name"
"Alternate Book Names","Canticles 2:4","Song.2.4","Song.2:4","PASS","0.00","0.95","Exact match","Latin name for Song"
"Alternate Book Names","Apocalypse 22:21","Rev.22.21","Rev.22:21","PASS","0.00","0.95","Exact match","Alternate name for Revelation"
"Alternate Book Names","Song of Songs 1:1","Song.1.1","Song.1:1","PASS","0.00","0.95","Exact match","Alternate Song name"
"Edge Formats","Rev. 7:9-10","Rev.7.9","Rev.7:9","PASS","0.00","0.95","Exact match","Period after abbreviation"
"Edge Formats","1 Cor. 13:13","1Cor.13.13","1Cor.13:13","PASS","1.00","0.95","Exact match","Period in numbered book"
"Edge Formats","Ps. 23:1","Ps.23.1","Ps.23:1","PASS","2.00","0.95","Exact match","Period after Psalm abbreviation"
"Multiple Verses","John 3:16-17","John.3.16","John.3:16","PASS","0.00","0.95","Exact match","Consecutive verses"
"Multiple Verses","Romans 12:1-2","Rom.12.1","Rom.12:1","PASS","0.00","0.95","Exact match","Living sacrifice passage"
"Multiple Verses","Ephesians 2:8-9","Eph.2.8","Eph.2:8","PASS","0.00","0.95","Exact match","Salvation by grace"
"Popular Verses","Jeremiah 29:11","Jer.29.11","Jer.29:11","PASS","0.00","0.95","Exact match","Plans to prosper"
"Popular Verses","Philippians 4:13","Phil.4.13","Phil.4:13","PASS","0.00","0.95","Exact match","I can do all things"
"Popular Verses","Proverbs 3:5-6","Prov.3.5","Prov.3:5","PASS","0.00","0.95","Exact match","Trust in the Lord"
"Popular Verses","Isaiah 40:31","Isa.40.31","Isa.40:31","PASS","0.00","0.95","Exact match","Mount up with wings"
"Popular Verses","Romans 8:28","Rom.8.28","Rom.8:28","PASS","0.00","0.95","Exact match","All things work together"
"Numbers Book","1 John 4:8","1John.4.8","1John.4:8","PASS","0.00","0.95","Exact match","God is love"
"Numbers Book","2 Corinthians 5:17","2Cor.5.17","2Cor.5:17","PASS","0.00","0.95","Exact match","New creation"
"Numbers Book","3 John 1:2","3John.1.2","3John.1:2","PASS","0.00","0.95","Exact match","Prosper and be in health"
"Numbers Book","1 Peter 5:7","1Pet.5.7","1Pet.5:7","PASS","0.00","0.95","Exact match","Cast your cares"
"Numbers Book","2 Peter 3:9","2Pet.3.9","2Pet.3:9","PASS","0.00","0.95","Exact match","Not willing any should perish"
"Short Books","Obadiah 1:1","Obad.1.1","Obad.1:1","PASS","0.00","0.95","Exact match","Single chapter book"
"Short Books","Philemon 1:6","Phlm.1.6","Phlm.1:6","PASS","0.00","0.95","Exact match","Short letter"
"Short Books","2 John 1:6","2John.1.6","2John.1:6","PASS","0.00","0.95","Exact match","Walking in truth"
"Short Books","Jude 1:24","Jude.1.24","Jude.1:24","PASS","0.00","0.95","Exact match","Keep you from falling"
"Mixed Format","jn 3 16","John.3.16","John.3:16","PASS","0.00","0.95","Exact match","Lowercase with spaces"
"Mixed Format","JOHN 3:16","John.3.16","John.3:16","PASS","0.00","0.95","Exact match","All caps"
"Mixed Format","psalm 23","Ps.23.1","Ps.23:1","PASS","0.00","0.95","Exact match","Lowercase full name"
"Mixed Format","1cor13","1Cor.13.1","1Cor.13:1","PASS","0.00","0.95","Exact match","Compact lowercase numbered"
"Wisdom Literature","Job 19:25","Job.19.25","Job.19:25","PASS","0.00","0.95","Exact match","I know my redeemer lives"
"Wisdom Literature","Ecclesiastes 3:1","Eccl.3.1","Eccl.3:1","PASS","0.00","0.95","Exact match","A time for everything"
"Wisdom Literature","Proverbs 31:10","Prov.31.10","Prov.31:10","PASS","0.00","0.95","Exact match","Virtuous woman"